sample;num_crispr_arrays;average_crispr_length;average_AT;percent_plus_orientation;percent_minus_orientation
GCF_002934625.1_ASM293462v1_genomic.fasta;8;104.25;25.35;50.0;50.0
GCF_027626975.1_ASM2762697v1_genomic.fasta;20;119.95;29.15;41.67;58.33
GCF_003351065.1_ASM335106v1_genomic.fasta;0;0.0;34.24;0.0;0.0
GCA_902459725.1_LMG_31012_genomic.fasta;3;70.67;36.32;66.67;33.33
GCF_003991855.1_ASM399185v1_genomic.fasta;4;111.75;31.76;0.0;100.0
GCA_000716875.1_ASM71687v1_genomic.fasta;24;133.42;27.02;33.33;66.67
GCF_009649915.1_ASM964991v1_genomic.fasta;6;118.33;47.67;50.0;50.0
GCF_007682245.1_ASM768224v1_genomic.fasta;1;84;61.21;100.0;0.0
GCA_013285525.1_ASM1328552v1_genomic.fasta;1;121;40.86;0.0;100.0
GCF_004786035.1_ASM478603v1_genomic.fasta;3;257.33;39.66;0.0;100.0
GCA_010894435.1_ASM1089443v1_genomic.fasta;56;127.5;29.7;67.86;32.14
GCA_900638345.1_57428_C01_genomic.fasta;5;235;50.54;100.0;0.0
GCA_013030075.1_ASM1303007v1_genomic.fasta;8;116.75;47.4;75.0;25.0
GCF_003726935.1_ASM372693v1_genomic.fasta;0;0.0;55.96;0.0;0.0
GCF_037023725.1_ASM3702372v1_genomic.fasta;1;173;41.88;0.0;0.0
GCF_002346025.1_ASM234602v1_genomic.fasta;2;88.5;31.53;100.0;0.0
GCF_004331155.1_ASM433115v1_genomic.fasta;0;0.0;59.05;0.0;0.0
GCA_013372105.1_ASM1337210v1_genomic.fasta;0;0.0;71.42;0.0;0.0
GCA_022354705.1_ASM2235470v1_genomic.fasta;7;292.14;49.45;60.0;40.0
GCF_004114915.1_ASM411491v1_genomic.fasta;0;0.0;36.09;0.0;0.0
GCA_900095885.1_Daq1742_genomic.fasta;4;1935.25;46.44;75.0;25.0
GCF_026016305.1_ASM2601630v1_genomic.fasta;1;93;38.63;100.0;0.0
GCA_000379065.1_ASM37906v1_genomic.fasta;14;713.14;30.6;45.45;54.55
GCA_017316165.1_ASM1731616v1_genomic.fasta;5;356.2;64.32;40.0;60.0
GCA_023614255.1_ASM2361425v1_genomic.fasta;21;296.29;27.88;86.67;13.33
GCA_016742855.1_ASM1674285v1_genomic.fasta;0;0.0;62.62;0.0;0.0
GCF_001017775.3_ASM101777v3_genomic.fasta;1;94;36.81;0.0;0.0
GCA_014206975.1_ASM1420697v1_genomic.fasta;2;328;36.11;100.0;0.0
GCF_001294335.1_ASM129433v1_genomic.fasta;15;105.53;29.11;75.0;25.0
GCF_009932815.1_ASM993281v1_genomic.fasta;4;277.75;37.2;50.0;50.0
GCA_018304945.1_ASM1830494v1_genomic.fasta;4;102;40.6;100.0;0.0
GCF_001544595.1_ASM154459v2_genomic.fasta;4;501;36.89;50.0;50.0
GCA_900119745.1_ASM90011974v1_genomic.fasta;3;213.33;37.86;50.0;50.0
GCA_022394535.1_ASM2239453v1_genomic.fasta;2;92.5;37.47;100.0;0.0
GCF_027286365.1_ASM2728636v1_genomic.fasta;6;493.67;50.29;33.33;66.67
GCA_900110435.1_IMG-taxon_2671180228_annotated_assembly_genomic.fasta;3;1086.33;35.39;66.67;33.33
GCA_902859845.1_LMG_29660_genomic.fasta;3;115.67;33.41;100.0;0.0
GCF_008876665.1_ASM887666v1_genomic.fasta;6;191.83;57.37;66.67;33.33
GCF_004008295.1_ASM400829v1_genomic.fasta;6;87.67;31.9;16.67;83.33
GCA_000715845.1_ASM71584v1_genomic.fasta;28;202.71;27.64;40.0;60.0
GCA_012927345.1_ASM1292734v1_genomic.fasta;12;102;38.66;66.67;33.33
GCF_035610385.1_ASM3561038v1_genomic.fasta;11;92.73;43.58;57.14;42.86
GCA_016103505.1_ASM1610350v1_genomic.fasta;29;176;28.88;69.23;30.77
GCA_023268495.1_ASM2326849v1_genomic.fasta;4;167;30.53;100.0;0.0
GCF_025822425.1_ASM2582242v1_genomic.fasta;5;155.2;33.74;0.0;100.0
GCF_004769745.1_ASM476974v1_genomic.fasta;1;259;60.03;0.0;0.0
GCA_020731565.1_ASM2073156v1_genomic.fasta;5;179.6;32.12;66.67;33.33
GCA_010731535.1_ASM1073153v1_genomic.fasta;12;912.08;33.05;66.67;33.33
GCF_003144405.1_ASM314440v1_genomic.fasta;1;82;61.86;0.0;100.0
GCA_014202705.1_ASM1420270v1_genomic.fasta;1;1501;35.34;0.0;100.0
GCF_025118245.1_ASM2511824v1_genomic.fasta;2;104;42.07;0.0;100.0
GCF_002000425.1_ASM200042v1_genomic.fasta;3;115;59.07;50.0;50.0
GCA_000472965.1_ASM47296v1_genomic.fasta;3;125.67;37.9;100.0;0.0
GCF_003568825.1_ASM356882v1_genomic.fasta;3;1920;60.12;50.0;50.0
GCF_001922405.1_ASM192240v1_genomic.fasta;1;78;65.43;100.0;0.0
GCF_004353915.1_ASM435391v1_genomic.fasta;8;156.62;35.62;80.0;20.0
GCF_024347335.1_ASM2434733v1_genomic.fasta;0;0.0;55.52;0.0;0.0
GCF_949790605.1_SF2022_genome_genomic.fasta;4;115.5;65.54;100.0;0.0
GCA_016026735.1_ASM1602673v1_genomic.fasta;4;470;40.75;50.0;50.0
GCA_020329435.1_ASM2032943v1_genomic.fasta;3;142.67;38.01;50.0;50.0
GCF_003387475.1_ASM338747v1_genomic.fasta;21;410.86;29.65;41.18;58.82
GCF_005251755.1_ASM525175v2_genomic.fasta;2;132.5;70.23;50.0;50.0
GCF_003351225.1_ASM335122v1_genomic.fasta;4;113.5;34.62;50.0;50.0
GCF_029772985.1_ASM2977298v1_genomic.fasta;1;109;56.34;100.0;0.0
GCF_007995155.1_ASM799515v1_genomic.fasta;2;77.5;63.09;0.0;100.0
GCA_023283765.1_ASM2328376v1_genomic.fasta;8;443;55.06;80.0;20.0
GCA_022343685.1_ASM2234368v1_genomic.fasta;0;0.0;43.86;0.0;0.0
GCA_022749515.1_ASM2274951v1_genomic.fasta;3;843.67;48.58;33.33;66.67
GCA_019396925.1_ASM1939692v1_genomic.fasta;0;0.0;53.72;0.0;0.0
GCF_007559005.1_ASM755900v1_genomic.fasta;4;216;33.05;0.0;100.0
GCA_019711735.1_ASM1971173v1_genomic.fasta;3;105.67;64.65;100.0;0.0
GCF_001703635.1_ASM170363v1_genomic.fasta;5;1019.8;34.44;33.33;66.67
GCF_001595965.1_ASM159596v1_genomic.fasta;1;101;54.57;0.0;100.0
GCF_001224225.1_7067_4_69_genomic.fasta;8;88.88;66.36;80.0;20.0
GCA_000953695.1_AWOD1_genomic.fasta;2;1979.5;61.52;0.0;100.0
GCA_022171985.1_ASM2217198v1_genomic.fasta;10;132;46.28;20.0;80.0
GCA_900115745.1_IMG-taxon_2617270762_annotated_assembly_genomic.fasta;2;702;31.22;100.0;0.0
GCF_002150735.1_ASM215073v1_genomic.fasta;19;156.26;28.81;66.67;33.33
GCF_001886195.1_ASM188619v1_genomic.fasta;2;167.5;65.71;50.0;50.0
GCA_016741855.1_ASM1674185v1_genomic.fasta;62;146.15;27.93;56.67;43.33
GCA_900637335.1_50618_H02_genomic.fasta;4;154.5;39.67;0.0;100.0
GCA_000967305.2_ASM96730v2_genomic.fasta;1;103;43.17;100.0;0.0
GCF_001865765.1_ASM186576v1_genomic.fasta;1;88;47.82;0.0;100.0
GCA_014644575.1_ASM1464457v1_genomic.fasta;6;723.83;38.38;66.67;33.33
GCA_019139835.1_ASM1913983v1_genomic.fasta;1;88;35.81;100.0;0.0
GCA_014843995.1_ASM1484399v1_genomic.fasta;2;120;40.46;100.0;0.0
GCA_011801475.1_ASM1180147v1_genomic.fasta;1;75;48.22;0.0;100.0
GCF_034424645.1_ASM3442464v1_genomic.fasta;1;105;38.37;0.0;100.0
GCA_014648955.1_ASM1464895v1_genomic.fasta;13;209.08;26.35;50.0;50.0
GCF_002902635.1_ASM290263v1_genomic.fasta;5;602.6;61.99;50.0;50.0
GCF_029690045.1_ASM2969004v1_genomic.fasta;2;90.5;37.4;100.0;0.0
GCA_014650895.1_ASM1465089v1_genomic.fasta;29;257.21;26.13;46.15;53.85
GCA_017573505.1_ASM1757350v1_genomic.fasta;16;134.88;29.49;50.0;50.0
GCF_002761235.1_ASM276123v1_genomic.fasta;11;585.64;34.47;42.86;57.14
GCF_009914335.1_ASM991433v1_genomic.fasta;2;86;61.58;0.0;100.0
GCA_010731655.1_ASM1073165v1_genomic.fasta;2;177.5;32.1;100.0;0.0
GCA_014656235.1_ASM1465623v1_genomic.fasta;15;157.27;28.88;50.0;50.0
GCA_013328205.1_ASM1332820v1_genomic.fasta;4;103.5;32.88;50.0;50.0
GCF_001718335.1_ASM171833v1_genomic.fasta;5;97.8;33.27;66.67;33.33
GCF_008932285.1_ASM893228v1_genomic.fasta;1;78;44.22;0.0;100.0
GCA_015234745.1_ASM1523474v1_genomic.fasta;10;149.5;29.18;33.33;66.67
GCA_014268755.2_ASM1426875v2_genomic.fasta;2;123.5;37.03;100.0;0.0
GCA_023920205.1_ASM2392020v1_genomic.fasta;9;133;38.54;71.43;28.57
GCA_900094835.1_IMG-taxon_2615840608_annotated_assembly_genomic.fasta;2;100;63.14;100.0;0.0
GCF_030135485.1_ASM3013548v1_genomic.fasta;57;121.51;26.74;65.62;34.38
GCF_003967075.1_ASM396707v1_genomic.fasta;3;1031.33;35.37;50.0;50.0
GCF_034055775.1_ASM3405577v1_genomic.fasta;17;277.71;53.32;43.75;56.25
GCF_001059235.1_ASM105923v1_genomic.fasta;9;155.33;34.9;83.33;16.67
GCA_905220825.1_LMG_22931_genomic.fasta;2;586.5;38.53;0.0;0.0
GCF_025821915.1_ASM2582191v1_genomic.fasta;14;131.57;30.85;50.0;50.0
GCA_014649535.1_ASM1464953v1_genomic.fasta;9;469;29.42;66.67;33.33
GCF_009769165.1_ASM976916v1_genomic.fasta;7;1214.57;31.97;33.33;66.67
GCF_002362315.1_ASM236231v1_genomic.fasta;9;112.11;37.87;66.67;33.33
GCF_027570065.1_ASM2757006v1_genomic.fasta;9;99.33;37.07;37.5;62.5
GCF_002217445.1_ASM221744v1_genomic.fasta;12;124.08;64.32;44.44;55.56
GCA_021271205.1_ASM2127120v1_genomic.fasta;1;328;39.19;0.0;100.0
GCF_001440415.1_ASM144041v1_genomic.fasta;2;105;38.13;0.0;0.0
GCF_001612705.2_ASM161270v2_genomic.fasta;0;0.0;39.39;0.0;0.0
GCA_014204515.1_ASM1420451v1_genomic.fasta;9;193;35.26;40.0;60.0
GCF_003096075.1_ASM309607v1_genomic.fasta;7;120.29;29.1;100.0;0.0
GCA_014196495.1_ASM1419649v1_genomic.fasta;5;670.8;34.01;50.0;50.0
GCA_900188105.1_IMG-taxon_2724679706_annotated_assembly_genomic.fasta;15;451.33;27.73;71.43;28.57
GCF_009708175.1_ASM970817v1_genomic.fasta;9;123;32.14;100.0;0.0
GCA_020009625.1_ASM2000962v1_genomic.fasta;3;118.33;32.16;100.0;0.0
GCA_013283665.1_ASM1328366v1_genomic.fasta;3;86.33;37.9;50.0;50.0
GCA_900187235.1_52184_D01_genomic.fasta;7;694;35.84;50.0;50.0
GCA_014649955.1_ASM1464995v1_genomic.fasta;28;105.11;29.52;56.25;43.75
GCA_014656585.1_ASM1465658v1_genomic.fasta;5;516.2;62.38;25.0;75.0
GCF_004216695.1_ASM421669v1_genomic.fasta;5;177.4;32.45;75.0;25.0
GCF_002214185.1_ASM221418v1_genomic.fasta;16;113.31;29.97;58.33;41.67
GCA_016803985.1_ASM1680398v1_genomic.fasta;52;162.77;26.72;36.59;63.41
GCF_004217495.1_ASM421749v1_genomic.fasta;10;116;31.83;42.86;57.14
GCA_016858235.1_ASM1685823v1_genomic.fasta;3;153.67;37.58;100.0;0.0
GCA_014467235.1_ASM1446723v1_genomic.fasta;3;88.67;57.03;50.0;50.0
GCF_002162115.2_ASM216211v2_genomic.fasta;3;102;45.6;0.0;100.0
GCF_002245555.1_ASM224555v1_genomic.fasta;2;91;42.78;50.0;50.0
GCF_036898485.1_ASM3689848v1_genomic.fasta;18;249.22;28.68;40.0;60.0
GCF_001636425.1_ASM163642v1_genomic.fasta;2;194.5;60.6;0.0;100.0
GCA_021654775.1_ASM2165477v1_genomic.fasta;60;173.68;52.02;48.15;51.85
GCF_005406205.1_ASM540620v1_genomic.fasta;1;210;70.83;100.0;0.0
GCF_001418255.1_ASM141825v1_genomic.fasta;3;117;34.9;33.33;66.67
GCF_001936235.1_ASM193623v1_genomic.fasta;1;1619;65.56;100.0;0.0
GCF_025685415.1_ASM2568541v1_genomic.fasta;1;79;37.29;100.0;0.0
GCF_003515105.1_ASM351510v1_genomic.fasta;3;197.33;58.4;66.67;33.33
GCA_016653315.1_ASM1665331v1_genomic.fasta;11;559.36;38.05;14.29;85.71
GCA_020329485.1_ASM2032948v1_genomic.fasta;0;0.0;37.69;0.0;0.0
GCF_025822045.1_ASM2582204v1_genomic.fasta;8;117;32.99;50.0;50.0
GCF_025263665.1_ASM2526366v1_genomic.fasta;3;99.33;64.87;50.0;50.0
GCA_000934565.1_ASM93456v1_genomic.fasta;1;221;39.64;0.0;100.0
GCA_018736085.1_ASM1873608v1_genomic.fasta;0;0.0;36.42;0.0;0.0
GCF_001419765.1_ASM141976v1_genomic.fasta;10;145;28.88;0.0;100.0
GCA_013201545.1_ASM1320154v1_genomic.fasta;6;117.83;39.31;20.0;80.0
GCA_014138465.1_ASM1413846v1_genomic.fasta;6;207.33;62.46;50.0;50.0
GCF_028473685.1_ASM2847368v1_genomic.fasta;6;163.83;37.08;33.33;66.67
GCF_002940045.1_ASM294004v1_genomic.fasta;5;102.2;34.87;50.0;50.0
GCF_001418565.1_ASM141856v1_genomic.fasta;17;118.82;29.85;60.0;40.0
GCA_014207795.1_ASM1420779v1_genomic.fasta;10;125.6;30.85;40.0;60.0
GCF_001238275.1_ASM123827v1_genomic.fasta;4;103.75;35.97;100.0;0.0
GCA_900475285.1_43222_B01_genomic.fasta;0;0.0;41.73;0.0;0.0
GCF_008244765.1_ASM824476v1_genomic.fasta;3;363;58.34;0.0;100.0
GCF_001998965.1_ASM199896v1_genomic.fasta;1;138;59.61;100.0;0.0
GCA_900113675.1_IMG-taxon_2634166901_annotated_assembly_genomic.fasta;7;208.57;61.17;100.0;0.0
GCF_037063765.1_ASM3706376v1_genomic.fasta;6;763.83;62.63;20.0;80.0
GCF_024296925.1_ASM2429692v1_genomic.fasta;7;100.43;40.62;20.0;80.0
GCA_014203235.1_ASM1420323v1_genomic.fasta;22;276.14;29.41;46.15;53.85
GCA_900105885.1_IMG-taxon_2667527223_annotated_assembly_genomic.fasta;1;3203;31.73;100.0;0.0
GCF_002209565.1_ASM220956v1_genomic.fasta;12;768.83;36.39;14.29;85.71
GCA_010093495.1_ASM1009349v1_genomic.fasta;10;162.9;31.87;50.0;50.0
GCF_003343285.1_ASM334328v1_genomic.fasta;0;0.0;43.73;0.0;0.0
GCF_005144905.1_ASM514490v1_genomic.fasta;1;109;56.23;100.0;0.0
GCA_900187875.1_IMG-taxon_2710264786_annotated_assembly_genomic.fasta;0;0.0;56.9;0.0;0.0
GCF_002155425.1_ASM215542v1_genomic.fasta;0;0.0;33.78;0.0;0.0
GCA_014879295.1_ASM1487929v1_genomic.fasta;5;246;56.36;0.0;100.0
GCF_949787665.1_MIP2473_genome_genomic.fasta;4;525.75;60.18;50.0;50.0
GCF_003710965.1_ASM371096v1_genomic.fasta;0;0.0;49.52;0.0;0.0
GCA_900182975.1_IMG-taxon_2681813503_annotated_assembly_genomic.fasta;1;115;63.85;0.0;0.0
GCA_000285555.1_ASM28555v1_genomic.fasta;7;351.86;60.19;20.0;80.0
GCA_013343195.3_ASM1334319v3_genomic.fasta;9;284.78;67.45;25.0;75.0
GCF_007556815.1_ASM755681v1_genomic.fasta;2;95;37.94;100.0;0.0
GCA_013267435.1_ASM1326743v1_genomic.fasta;0;0.0;64.26;0.0;0.0
GCA_016127755.1_ASM1612775v1_genomic.fasta;6;165.33;33.22;66.67;33.33
GCA_014174155.1_ASM1417415v1_genomic.fasta;1;516;33.37;100.0;0.0
GCA_022453685.1_ASM2245368v1_genomic.fasta;6;806.17;58.52;0.0;100.0
GCF_003591175.1_ASM359117v1_genomic.fasta;4;922.75;44.14;50.0;50.0
GCF_004363965.1_ASM436396v1_genomic.fasta;9;134.44;59.73;20.0;80.0
GCF_001617605.1_ASM161760v1_genomic.fasta;5;145.8;62.35;50.0;50.0
GCF_024171415.1_ASM2417141v1_genomic.fasta;6;318.83;38.67;40.0;60.0
GCA_016906025.1_ASM1690602v1_genomic.fasta;9;129.78;35.91;42.86;57.14
GCF_003710245.1_ASM371024v1_genomic.fasta;7;99.14;44.94;25.0;75.0
GCF_006546835.1_ASM654683v1_genomic.fasta;13;420;32.47;88.89;11.11
GCF_036051655.1_ASM3605165v1_genomic.fasta;20;262;30.37;40.0;60.0
GCA_900116645.1_IMG-taxon_2671180040_annotated_assembly_genomic.fasta;13;737.62;33.28;37.5;62.5
GCF_003590855.1_ASM359085v1_genomic.fasta;3;94;36.36;100.0;0.0
GCA_013307205.1_ASM1330720v1_genomic.fasta;1;98;54.04;100.0;0.0
GCA_900186025.1_BXF1_genomic.fasta;0;0.0;47.16;0.0;0.0
GCA_033436825.1_ASM3343682v1_genomic.fasta;7;263.43;28.77;40.0;60.0
GCF_005864415.1_ASM586441v1_genomic.fasta;4;545.75;61.94;100.0;0.0
GCF_024758625.1_ASM2475862v1_genomic.fasta;5;402.8;48.92;75.0;25.0
GCF_002217335.1_ASM221733v1_genomic.fasta;15;145.27;67.31;75.0;25.0
GCF_029168555.1_ASM2916855v1_genomic.fasta;6;653.33;59.05;25.0;75.0
GCF_003516125.1_ASM351612v3_genomic.fasta;20;176.7;43.09;42.86;57.14
GCA_022870785.1_ASM2287078v1_genomic.fasta;0;0.0;39.79;0.0;0.0
GCA_000819885.1_PRJEB7030_genomic.fasta;6;458.5;41.61;25.0;75.0
GCF_003967035.1_ASM396703v1_genomic.fasta;2;1151.5;31.67;0.0;100.0
GCF_001441165.1_ASM144116v1_genomic.fasta;12;109.67;31.23;42.86;57.14
GCF_001580675.1_ASM158067v1_genomic.fasta;4;366.5;39.47;33.33;66.67
GCA_019141525.1_ASM1914152v1_genomic.fasta;3;181.33;39.14;100.0;0.0
GCA_017352335.1_ASM1735233v1_genomic.fasta;17;223.12;29.08;55.56;44.44
GCA_016728785.1_ASM1672878v1_genomic.fasta;1;3362;68.65;100.0;0.0
GCA_014644495.1_ASM1464449v1_genomic.fasta;1;136;34.19;100.0;0.0
GCF_009363115.1_ASM936311v1_genomic.fasta;15;749.47;53.91;57.14;42.86
GCF_030408755.1_ASM3040875v1_genomic.fasta;6;1836.17;46.13;60.0;40.0
GCF_001456115.1_ASM145611v1_genomic.fasta;4;409.75;37.59;50.0;50.0
GCA_022369495.1_ASM2236949v1_genomic.fasta;1;120;61.64;0.0;100.0
GCA_032173255.1_ASM3217325v1_genomic.fasta;0;0.0;46.08;0.0;0.0
GCA_013282785.1_ASM1328278v1_genomic.fasta;9;352.89;52.51;88.89;11.11
GCA_022221585.1_ASM2222158v1_genomic.fasta;22;117.41;29.69;66.67;33.33
GCA_018394375.1_ASM1839437v1_genomic.fasta;3;113;41.01;0.0;100.0
GCF_026421305.1_ASM2642130v1_genomic.fasta;2;130;37.29;100.0;0.0
GCF_009690905.1_ASM969090v1_genomic.fasta;4;117;38.64;0.0;100.0
GCA_014236795.1_ASM1423679v1_genomic.fasta;4;1161.5;31.83;50.0;50.0
GCA_900465055.1_MORIYA_PRJEB24680v2_genomic.fasta;1;109;58.8;0.0;0.0
GCA_019780885.1_ASM1978088v1_genomic.fasta;5;165;31.45;100.0;0.0
GCA_900609065.1_aT11b_genomic.fasta;3;106;35.72;0.0;100.0
GCA_019645875.1_ASM1964587v1_genomic.fasta;9;107.33;33.44;0.0;100.0
GCA_902459735.1_LMG_20602_genomic.fasta;2;103;36.56;100.0;0.0
GCF_004785625.2_ASM478562v2_genomic.fasta;3;91.33;55.27;50.0;50.0
GCF_026240615.1_ASM2624061v1_genomic.fasta;7;1701.57;68.52;66.67;33.33
GCA_020423125.1_ASM2042312v1_genomic.fasta;12;132;38.8;66.67;33.33
GCF_002243045.1_ASM224304v1_genomic.fasta;6;543;58.67;0.0;100.0
GCA_020885575.1_ASM2088557v1_genomic.fasta;8;107.25;38.02;57.14;42.86
GCA_022370755.2_ASM2237075v2_genomic.fasta;1;119;32.95;0.0;0.0
GCF_001885805.1_ASM188580v1_genomic.fasta;7;789;58.1;66.67;33.33
GCF_001411475.1_ASM141147v1_genomic.fasta;4;131;44.84;75.0;25.0
GCF_003640665.1_ASM364066v1_genomic.fasta;6;109.5;32.57;0.0;100.0
GCA_904848625.1_LMG_28140_genomic.fasta;1;142;39.0;0.0;100.0
GCF_009738105.1_ASM973810v1_genomic.fasta;1;1026;63.15;100.0;0.0
GCF_003611585.1_ASM361158v1_genomic.fasta;40;140.9;29.71;61.11;38.89
GCF_003970385.1_ASM397038v1_genomic.fasta;1;116;54.86;0.0;0.0
GCF_001020985.1_ASM102098v1_genomic.fasta;7;980;47.43;40.0;60.0
GCA_000242235.1_Lach_bact_ACC2_V1_genomic.fasta;11;730.09;44.85;50.0;50.0
GCA_000479335.1_ASM47933v1_genomic.fasta;3;575;57.88;50.0;50.0
GCA_020103775.1_ASM2010377v1_genomic.fasta;15;125.73;30.9;42.86;57.14
GCA_014873875.1_ASM1487387v1_genomic.fasta;9;157.33;30.95;60.0;40.0
GCF_003051085.1_ASM305108v1_genomic.fasta;4;1446.5;52.94;100.0;0.0
GCF_004331465.1_ASM433146v1_genomic.fasta;23;114.39;31.9;43.75;56.25
GCA_000691605.1_ASM69160v1_genomic.fasta;1;113;49.35;0.0;0.0
GCA_020526085.1_ASM2052608v1_genomic.fasta;9;406.67;43.3;83.33;16.67
GCA_032100725.1_ASM3210072v1_genomic.fasta;23;126.04;26.42;53.85;46.15
GCA_013408165.1_ASM1340816v1_genomic.fasta;1;102;34.56;0.0;0.0
GCF_001590835.1_ASM159083v1_genomic.fasta;8;166.25;64.37;50.0;50.0
GCF_009733595.1_ASM973359v1_genomic.fasta;16;166.12;27.22;58.33;41.67
GCF_002197645.1_ASM219764v1_genomic.fasta;3;99.33;62.73;0.0;100.0
GCF_001700505.1_ASM170050v1_genomic.fasta;2;105.5;29.35;100.0;0.0
GCF_001037465.1_ASM103746v1_genomic.fasta;4;547.25;56.4;50.0;50.0
GCA_014863355.1_ASM1486335v1_genomic.fasta;5;113;37.04;60.0;40.0
GCF_002906255.1_ASM290625v1_genomic.fasta;4;715.75;36.83;75.0;25.0
GCA_014058685.1_ASM1405868v1_genomic.fasta;0;0.0;65.33;0.0;0.0
GCF_008370245.1_ASM837024v1_genomic.fasta;20;352.2;61.07;44.44;55.56
GCA_900458895.2_GCA_900458895_genomic.fasta;2;117.5;63.97;50.0;50.0
GCF_026735135.1_ASM2673513v1_genomic.fasta;8;597.38;71.7;100.0;0.0
GCF_002812225.1_ASM281222v1_genomic.fasta;1;142;60.19;0.0;0.0
GCA_016862635.1_ASM1686263v1_genomic.fasta;19;174.53;28.19;57.14;42.86
GCF_030408435.1_ASM3040843v1_genomic.fasta;42;142.33;41.51;51.52;48.48
GCF_030370035.1_ASM3037003v1_genomic.fasta;4;826;45.58;50.0;50.0
